subject,predicate,object
BUỒN TIỂU,HAS_SYMPTOM,ĐAU TỨC
LỒI KẾT MẠC,HAS_SYMPTOM,SỤP MÍ
TIM,HAS_SYMPTOM,ĐAU NGỰC
HÀM RĂNG,HAS_SYMPTOM,ĐẬP
TÁI NHỢT,HAS_SYMPTOM,KHÓ THỞ
ĐỔ MỒ HÔI,HAS_SYMPTOM,TIM ĐẬP NHANH
NỔI MẪN ĐỎ,HAS_SYMPTOM,COVID
MÀNG,HAS_SYMPTOM,TRÀN DỊCH
MẮC BỆNH,HAS_SYMPTOM,ĐA U TỦY
NHÂN XƠ TỬ CUNG,HAS_SYMPTOM,XƠ TỬ CUNG
SUY GIẢM TRÍ NHỚ,HAS_SYMPTOM,KHÔ ĐẮNG
NỔI MỀ ĐAY,HAS_SYMPTOM,CMV
ĐƯỜNG HÔ HẤP,HAS_SYMPTOM,TÁI PHÁT
TIM ĐẬP NHANH,HAS_SYMPTOM,NHÌN MỜ
RỐI LOẠN,HAS_SYMPTOM,PHÓNG NOÃN
"37,4 ĐỘ C",HAS_SYMPTOM,ĐAU
HỆ THỐNG MIỄN DỊCH,HAS_SYMPTOM,DI CHỨNG
CƠ MẶT,HAS_SYMPTOM,HỘI CHỨNG BELL’S PALSY
Ý THỨC SUY GIẢM,HAS_SYMPTOM,HỘI CHỨNG MÀNG
HCC,HAS_SYMPTOM,BỆNH GAN NHIỄM MỠ
HỘI CHỨNG RAMSAY HUNT,HAS_SYMPTOM,HỘI CHỨNG RAMSAY
NỘI TIẾT,HAS_SYMPTOM,UNG THƯ BUỒNG TRỨNG
NỔI MẬN ĐỎ,HAS_SYMPTOM,Ề ĐAI DA
TINH TRÙNG,HAS_SYMPTOM,VIÊM
KÍCH ỨNG DA,HAS_SYMPTOM,MỀM
TÀN NHANG NÁM,HAS_SYMPTOM,NÁM
VÔ SINH,HAS_SYMPTOM,ỐNG DẪN TRỨNG
CHÂN TAY,HAS_SYMPTOM,ĐI NGOÀI
ĐƯỜNG TIẾT NIỆU,HAS_SYMPTOM,SỎI
TÓC,HAS_SYMPTOM,COV-2
NGHẸN,HAS_SYMPTOM,Ợ NÓNG
COVID,HAS_SYMPTOM,CỤC MÁU ĐÔNG
CƠ THỂ,HAS_SYMPTOM,TĂNG TIẾT MỒ HÔI CỤC BỘ
COVID,HAS_SYMPTOM,DƯƠNG TÍNH
DẠ DÀY,HAS_SYMPTOM,BỊ BỆNH
THẬN,HAS_SYMPTOM,BỆNH LÝ NỀN
THIẾU HỤT,HAS_SYMPTOM,KINH NGUYỆT KHÔNG ĐỀU
PHỔI,HAS_SYMPTOM,NHIỄ
"102,1OF",HAS_SYMPTOM,KHÓ THỞ
VIÊM NHIỄM,HAS_SYMPTOM,QUAN HỆ
120,HAS_SYMPTOM,NHỊP ĐẬP HỤT
TÚI,HAS_SYMPTOM,DỊ ỨNG
LÚ LẪN,HAS_SYMPTOM,VÔ KINH
NHỊP TIM NHANH,HAS_SYMPTOM,TIM ĐẬP NHANH
MÊ SẢNG,HAS_SYMPTOM,THYROTOXIC
CƠ THỂ,HAS_SYMPTOM,SƯNG MÍ MẮT
THỰC QUẢN,HAS_SYMPTOM,NÔN MỬA
MÍ MẮT,HAS_SYMPTOM,TẦM NHÌN ĐÔI
SỢ SỆT,HAS_SYMPTOM,NÔN MỬA
TIN,HAS_SYMPTOM,RỐI LOẠN SINH DỤC
MÔNG,HAS_SYMPTOM,BIẾN CHỨNG
BỆNH MỀ ĐAY,HAS_SYMPTOM,TỰ PHÁT
NỘI TIẾT,HAS_SYMPTOM,TIM ĐẬP NHANH
MŨI,HAS_SYMPTOM,NGỦ ÍT
LÂY LAN,HAS_SYMPTOM,ĐẠI DỊCH
ĐAU ĐẦU,HAS_SYMPTOM,CHÓNG MẮT
ÂM ĐẠO,HAS_SYMPTOM,VIÊM
Ý THỨC SUY GIẢM,HAS_SYMPTOM,PHÙ NỀ
HỒNG CẦU,HAS_SYMPTOM,TRONG MÁU
COVID,HAS_SYMPTOM,RỐI LOẠN
CẢM GIÁC,HAS_SYMPTOM,VIÊM
SANG THƯƠNG,HAS_SYMPTOM,HUYẾT ÁP
RỐI LOẠN KHỚP,HAS_SYMPTOM,TRIỆU CHỨNG
TINH THẦN SA SÚ,HAS_SYMPTOM,TRẦM CẢM
TRIỆU CHỨNG VIÊM DA,HAS_SYMPTOM,BAN SẨN ĐỎ
NGỰC,HAS_SYMPTOM,KHỐI U
PHẾ CẦU,HAS_SYMPTOM,SỞI
MÔ CẦU,HAS_SYMPTOM,VIÊM GAN B
CHÂN TAY,HAS_SYMPTOM,NỔI BAN CÓ BỌNG NƯỚC
ÂM ĐẠO,HAS_SYMPTOM,TÁI PHÁT
HÔN,HAS_SYMPTOM,VẾT TRẦY XƯỚC
BÀNG QUANG,HAS_SYMPTOM,ĐAU TỨC
RỐI LOẠN XUẤT TINH,HAS_SYMPTOM,LẠC NỘI MẠC
MẠCH,HAS_SYMPTOM,ẾT ÁP
TỨC NGỰC,HAS_SYMPTOM,KHỐI U
TIM,HAS_SYMPTOM,NHANH
THÁI DƯƠNG,HAS_SYMPTOM,ĐAU
MẠCH,HAS_SYMPTOM,TIM ĐẬP RẤT NHANH
DÂY CHẰNG,HAS_SYMPTOM,ĐAU LƯNG
TÂM PHẾ,HAS_SYMPTOM,VIÊM BÌ
NGÓN CHÂN,HAS_SYMPTOM,MẤT CẢM GIÁC
HO KHAN,HAS_SYMPTOM,"100,5OF"
BUỒNG TRỨNG,HAS_SYMPTOM,MẤT NGỦ
CHÓNG MẶT,HAS_SYMPTOM,PHÙ GAI THỊ
UNG THƯ VÚ,HAS_SYMPTOM,VID
POLYPE,HAS_SYMPTOM,VIÊM
CHOÁNG MẶT,HAS_SYMPTOM,THIẾU MÁU NÃO
CO GIẬT CỤC BỘ,HAS_SYMPTOM,Ý THỨC SUY GIẢM
MAO MẠCH,HAS_SYMPTOM,CẢM GIÁC KIẾN BÒ
BẨM SINH,HAS_SYMPTOM,SITUS
HỆ MIỄN DỊCH,HAS_SYMPTOM,COVID
GÁY,HAS_SYMPTOM,HÔI
E.COLI,HAS_SYMPTOM,TRỰC KHUẨN MỦ XANH
UNG THƯ ĐẠI TRÀNG,HAS_SYMPTOM,ĐAU NHÓI
KHỨU GIÁC,HAS_SYMPTOM,HO KHAN
XUẤT HUYẾT,HAS_SYMPTOM,SỤP MÍ
TỤ CẦU VÀNG,HAS_SYMPTOM,TRỰC KHUẨN MỦ XANH
RỐI LOẠN NỘI TIẾT,HAS_SYMPTOM,TIỀN MÃN KINH
"TAY, CHÂN",HAS_SYMPTOM,BỊ BỆNH
ỐNG TAI,HAS_SYMPTOM,MỤN
THIẾU MÁU NÃO,HAS_SYMPTOM,VIÊM XOANG
PHÙ NỀ GAI THỊ,HAS_SYMPTOM,TEO GAI THỊ
NỔI,HAS_SYMPTOM,TIM ĐẬP NHANH
TUYẾN YÊN,HAS_SYMPTOM,TIM ĐẬP NHANH
RỐI LOẠN THỊ GIÁC,HAS_SYMPTOM,SAU SÚT TRÍ TUỆ
SỎI THẬN,HAS_SYMPTOM,TIỂU
BỆNH LÝ,HAS_SYMPTOM,KHỐI U
CĂNG CƠ,HAS_SYMPTOM,MẶT
TINH TRÙNG,HAS_SYMPTOM,LÂY TRUYỀN
TỬ CUNG,HAS_SYMPTOM,ĐA NANG
GÁY,HAS_SYMPTOM,NGHE KÉM
LỆ BỘ,HAS_SYMPTOM,VẾT THƯƠNG
MÀNG,HAS_SYMPTOM,LÂY TRUYỀN
TAI NẠN,HAS_SYMPTOM,VIÊM MŨI DỊ ỨNG
XUẤT HUYẾT,HAS_SYMPTOM,HOẠI TỬ
TUYẾN YÊN,HAS_SYMPTOM,BƯỚU GIÁP
MỠ GOUT,HAS_SYMPTOM,COVID
CƠ THỂ,HAS_SYMPTOM,NHANH
BUỒNG TRỨNG,HAS_SYMPTOM,NHIỄM TRÙNG
TIỂU BUỐT,HAS_SYMPTOM,KHÓ
TỬ CUNG,HAS_SYMPTOM,UNG THƯ
CHẤN THƯƠNG,HAS_SYMPTOM,VÔ SINH
TRIỆU CHỨNG,HAS_SYMPTOM,VÀNG DA
TAI,HAS_SYMPTOM,HỘI CHỨNG MỎM TRÂM
KHÀN TIẾNG,HAS_SYMPTOM,KHÓ NUỐT
TÁ TRÀNG,HAS_SYMPTOM,CROHN
PHỔI,HAS_SYMPTOM,Ứ NƯỚC
SẸO,HAS_SYMPTOM,VIÊM LOÉT
MAO MẠCH,HAS_SYMPTOM,RỤNG LÔNG MÀY
RỐI LOẠN TÂM THẦN,HAS_SYMPTOM,ỐI LOẠN BÓNG TÓC
COVID,HAS_SYMPTOM,RỐI LOẠN NHỊP TIM
RỐI LOẠN NGÔN NGỮ,HAS_SYMPTOM,ĐAU SƯNG HẠCH BẠCH HUYẾT
MÔI,HAS_SYMPTOM,ĐẬP
CẢM THƯỜNG,HAS_SYMPTOM,CẢM CÚM
NÁCH,HAS_SYMPTOM,BỆNH HÔI
NIỆU ĐẠO,HAS_SYMPTOM,ĐAU
TINH HOÀN,HAS_SYMPTOM,VIÊM
RỐI LOẠN,HAS_SYMPTOM,RỐI LOẠN XUẤT TINH
THẦN,HAS_SYMPTOM,BUỒN NÔN
LƯNG,HAS_SYMPTOM,CÚM
TÊ LIỆT DÂY THẦN KINH,HAS_SYMPTOM,ĐAU
CÁNH TAY,HAS_SYMPTOM,TÊ ĐÁM RỐI THẦN KINH
TAI MŨI,HAS_SYMPTOM,BỆNH NỀN
NHIỄM SẮC THỂ ĐỒ,HAS_SYMPTOM,HỘI CHỨNG
VAN,HAS_SYMPTOM,ĐAU
TẬT NẾP DA THỪA,HAS_SYMPTOM,GIẢ QUẶM
RỐI LOẠN,HAS_SYMPTOM,RỐI LOẠN PHÓNG NOÃN
TÚI MẬT,HAS_SYMPTOM,ĐAU
RUỘT,HAS_SYMPTOM,CROHN
RUỘT NON,HAS_SYMPTOM,ÁC TÍNH
VẬT VÃ,HAS_SYMPTOM,ĐAU QU
NÓNG RÁT,HAS_SYMPTOM,ĐAU
ĐẦU GỐI,HAS_SYMPTOM,BIẾN CHỨNG
XƯƠNG,HAS_SYMPTOM,KHỐI U
MẮC BỆNH TỰ MIỄN,HAS_SYMPTOM,COVID
MẶT,HAS_SYMPTOM,VIÊM DA
TIỂU CẦU,HAS_SYMPTOM,GIẢM THIỂU
NÓNG LẠNH,HAS_SYMPTOM,NƯỚC
GIÃN TĨNH MẠCH THỪNG TINH,HAS_SYMPTOM,GIÃN TĨNH MẠCH
THOÁT VỊ,HAS_SYMPTOM,VIÊM
MIỆNG,HAS_SYMPTOM,ANG
TÁO BÓN,HAS_SYMPTOM,THOÁT VỊ
VIÊM TUỶ,HAS_SYMPTOM,VIRURS
CỤC MÁU ĐÔNG,HAS_SYMPTOM,TAI NẠN
UNG THƯ PHỔI,HAS_SYMPTOM,KHỐI U
GAN,HAS_SYMPTOM,PHỔI TẮC NGHẼN
HỌNG,HAS_SYMPTOM,NHIỄ
TẮC ỐNG DẪN TRỨNG,HAS_SYMPTOM,TẮC
DAI DẲNG,HAS_SYMPTOM,PHÙ CHI
LÀN DA,HAS_SYMPTOM,DA KHÔ
CHÁN NẢN,HAS_SYMPTOM,GIẢM SÚT
CHOÁNG MẶT,HAS_SYMPTOM,BUỒN NÔN
HIV,HAS_SYMPTOM,HERPES
MÙ LÒA,HAS_SYMPTOM,BỆNH THẬN MẠN
THẮT LƯNG,HAS_SYMPTOM,MẤT NGỦ
VAN,HAS_SYMPTOM,NHANH
HỘI CHỨNG MÀNG,HAS_SYMPTOM,TEO GAI THỊ
TRÁ,HAS_SYMPTOM,BIẾN CHỨNG
LỒI KẾT MẠC,HAS_SYMPTOM,XUẤT HUYẾT
RÁT,HAS_SYMPTOM,NGỨA NGÁY
ĐAU ĐỚN,HAS_SYMPTOM,NÓNG RÁT
CHẬM,HAS_SYMPTOM,ỜM NƯỚC
VẾT NỨT,HAS_SYMPTOM,VI KHUẨN
MỤN,HAS_SYMPTOM,MẨN ĐỎ
LƯNG,HAS_SYMPTOM,KHÓ THỞ
KHÓ,HAS_SYMPTOM,THIẾU MÁU
PHÌ ĐẠI,HAS_SYMPTOM,COVID
TÊ ĐÁM RỐI,HAS_SYMPTOM,ĐAU
NHỨC ĐẦU,HAS_SYMPTOM,RUN
TIM,HAS_SYMPTOM,HUYẾT KHỐI TĨNH MẠCH
MÔ CẦU,HAS_SYMPTOM,SỞI
BỊ BỆNH,HAS_SYMPTOM,FALLOT
NÃO,HAS_SYMPTOM,VÁN
HỘI CHỨNG,HAS_SYMPTOM,FALLOT
CƠ THỂ,HAS_SYMPTOM,KHÓ NÓI
TẮC HUYẾT KHỐI TĨNH MẠCH,HAS_SYMPTOM,HUYẾT KHỐI TĨNH MẠCH
MẠCH,HAS_SYMPTOM,HẸP MẠCH NỘI S
MẤT PHỐI HỢP ĐỘNG TÁC,HAS_SYMPTOM,SAU SÚT TRÍ TUỆ
TRÁ,HAS_SYMPTOM,VIÊM MŨI
NGÓN CHÂN,HAS_SYMPTOM,ĐỐM TRẮNG
HẮT HƠI,HAS_SYMPTOM,NGỨA MŨI
GAN,HAS_SYMPTOM,DI CHỨNG
TIM,HAS_SYMPTOM,UNG THƯ
RUỘT,HAS_SYMPTOM,BỊ BỆNH
TIỂU NÃO,HAS_SYMPTOM,Ù TAI
TIM,HAS_SYMPTOM,CỤC BỘ
LÚ LẪN,HAS_SYMPTOM,KHÔ ĐẮNG
ĐỘNG MẠCH,HAS_SYMPTOM,ĐAU ĐẦU
VẾT,HAS_SYMPTOM,SƯNG NỀ
TÁI PHÁT,HAS_SYMPTOM,NGỨ
TIỂU ĐƯỜNG,HAS_SYMPTOM,TÚYP
TĂNG CÂN,HAS_SYMPTOM,CO GIẬT
TOÀN THÂN,HAS_SYMPTOM,CHẢY MÁU
ĐÁI THÁO ĐƯỜNG,HAS_SYMPTOM,MÙ LÒA
LƯỠI,HAS_SYMPTOM,THỞ KHÒ KHÈ
NHANH,HAS_SYMPTOM,VIÊM SỤN SƯỜN
TAI BIẾN,HAS_SYMPTOM,LIỆT NỬA THÂN
SỢ SỆT,HAS_SYMPTOM,SỐT
XƯƠNG HÀM,HAS_SYMPTOM,XANH XAO
TRÁ,HAS_SYMPTOM,TÁI PHÁT
LÂY LAN,HAS_SYMPTOM,BỊ BỆNH
Ý THỨC SUY GIẢM,HAS_SYMPTOM,PHÙ NỀ GAI THỊ
TIM,HAS_SYMPTOM,KHÓ NÓI
LÂY TRUYỀN,HAS_SYMPTOM,TRIỆU CHỨNG
KHỐI U NANG BUỒNG TRỨNG,HAS_SYMPTOM,KHỐI U
HỆ TIÊU HÓA,HAS_SYMPTOM,QUÁNG GÀ
SIÊU VI B,HAS_SYMPTOM,XƠ HÓA
SỢ SỆT,HAS_SYMPTOM,BUỒN NÔN
ĐA NANG,HAS_SYMPTOM,CÓ THAI
LỘ TUYẾN,HAS_SYMPTOM,VIÊM NẤM
HỒNG CẦU,HAS_SYMPTOM,RA MÁU
MẠCH,HAS_SYMPTOM,ĐI TIỂU
NÁCH,HAS_SYMPTOM,HỘI CHỨNG
TUYẾN GIÁP,HAS_SYMPTOM,BIẾN THỂ NANG
TRÀO NGƯỢC,HAS_SYMPTOM,GERD
ƯƠNG,HAS_SYMPTOM,CHẤN THƯƠNG
QUAN HỆ TÌNH DỤC,HAS_SYMPTOM,VIÊM GAN B
BỆNH LẬU,HAS_SYMPTOM,COLI
XƯƠNG SƯỜN,HAS_SYMPTOM,ĐAU
TỬ CUNG,HAS_SYMPTOM,MẮC BỆNH
MIỆNG,HAS_SYMPTOM,LOẠN THẦN
ĐAU ĐẦU,HAS_SYMPTOM,SUY KIỆT
ÁP XE,HAS_SYMPTOM,AMIDAN
TỬ CUNG,HAS_SYMPTOM,DỊ DẠNG
TIM MẠCH,HAS_SYMPTOM,HẸP HỞ VAN 2 LÁ
MÁU,HAS_SYMPTOM,THROMBOPHILIA
RỐI LOẠN TIÊU HÓA,HAS_SYMPTOM,TĂNG TIẾT DỊCH
TUYẾN GIÁP,HAS_SYMPTOM,DẠNG NHÚ
LIỆT,HAS_SYMPTOM,HỘI CHỨNG
NIỆU ĐẠO,HAS_SYMPTOM,NHIỄM TRÙNG
GIẢM TRƯƠNG LỰC,HAS_SYMPTOM,H. PYLORI
TỬ CUNG,HAS_SYMPTOM,VÔ SINH
COVID,HAS_SYMPTOM,ĐAU TỨC
Ứ CHỨNG,HAS_SYMPTOM,FALLOT
MÀNG,HAS_SYMPTOM,ÁP XE GAN
TRỰC TRÀNG,HAS_SYMPTOM,BỊ BỆNH
NHỨC ĐẦU,HAS_SYMPTOM,PHÙ GAI THỊ
HUYẾT,HAS_SYMPTOM,TẮC MẠCH PHỔI
MẮT,HAS_SYMPTOM,SỤP MÍ
ĐAU THẦN KINH TỌA,HAS_SYMPTOM,KÍCH ỨNG DA
ĐƯỜNG THỞ,HAS_SYMPTOM,CẢM GIÁC
ĐAU LƯNG,HAS_SYMPTOM,IỆU CHỨNG
QUAN HỆ TÌNH DỤC,HAS_SYMPTOM,VIRUS VIÊM GAN B
BỊ BỆNH PHỔI TẮC NGHẼN,HAS_SYMPTOM,HEN PHẾ QUẢN
BỆNH GAN NHIỄM MỠ,HAS_SYMPTOM,VI-RÚT
MŨI,HAS_SYMPTOM,VIÊM LOÉT
TÍM TÁI,HAS_SYMPTOM,39 ĐỘ C
ỐNG,HAS_SYMPTOM,NGHE KÉM
HỆ THỐNG MIỄN DỊCH,HAS_SYMPTOM,VIÊM KHỚP
MẠCH MÁU,HAS_SYMPTOM,HẸP
BỆNH ĐA XƠ CỨNG,HAS_SYMPTOM,TRIỆU CHỨNG
CƠ ĐỊA,HAS_SYMPTOM,HIV
CMV,HAS_SYMPTOM,HSV
TRIỆU CHỨNG,HAS_SYMPTOM,VÀNG MẮT
MÔNG,HAS_SYMPTOM,VIÊM
MẤT NGỦ,HAS_SYMPTOM,TỬ VONG
ĐẦY HƠI,HAS_SYMPTOM,THOÁT VỊ
NÃO,HAS_SYMPTOM,TÁI PHÁT
RUỘT,HAS_SYMPTOM,VIÊM TÚI
ĐAU SƯNG HẠCH BẠCH HUYẾT,HAS_SYMPTOM,CỨNG GÁY
BUỒN NÔN,HAS_SYMPTOM,PHÙ GAI THỊ
GAN,HAS_SYMPTOM,GIUN SÁN
VIÊM,HAS_SYMPTOM,TĂNG NHÃN ÁP
VIÊM ĐA XOANG,HAS_SYMPTOM,VIÊM
MIỆNG,HAS_SYMPTOM,NHIỄ
CƠ ĐỊA,HAS_SYMPTOM,CỤC MÁU ĐÔNG
PHỤ KHOA,HAS_SYMPTOM,VIÊM
VIÊM DA,HAS_SYMPTOM,THỦY ĐẬU
"100,5OF",HAS_SYMPTOM,GIẢM CHỨC NĂNG VỊ GIÁC
THIẾU,HAS_SYMPTOM,THIẾU MEN
RỐI LOẠN CO THẮT KHÍ,HAS_SYMPTOM,KINH NGUYỆT
BỤNG,HAS_SYMPTOM,QUAN HỆ TÌNH DỤC
VÔ TINH,HAS_SYMPTOM,QUAI BỊ
TIỀN LIỆT,HAS_SYMPTOM,TIỂU ĐƯỜNG
ỐNG DẪN TINH,HAS_SYMPTOM,GIÃN TĨNH MẠCH THỪNG TINH
VÀNG DA,HAS_SYMPTOM,VÀNG MẮT
PHẾ QUẢN,HAS_SYMPTOM,LÂY LAN
TIM,HAS_SYMPTOM,Ở VAN 2 LÁ
RỐI LOẠN THỊ GIÁC,HAS_SYMPTOM,MẤT TRÍ NHỚ
THROMBOPHILIA,HAS_SYMPTOM,HUYẾT KHỐI NHỎ TRONG
GEN,HAS_SYMPTOM,BỊ BỆNH
CAO HUYẾT ÁP,HAS_SYMPTOM,QUA
MẮC BỆNH,HAS_SYMPTOM,BASEDOW
RÁT,HAS_SYMPTOM,KHÓ
SAU SÚT TRÍ TUỆ,HAS_SYMPTOM,TRÍ NHỚ BỊ SUY GIẢM
HỌNG,HAS_SYMPTOM,KHÓ
ĐỘNG MẠCH,HAS_SYMPTOM,HẸP
HỘI CHỨNG ĐÔNG MÁU GIẢM,HAS_SYMPTOM,NHỨC ĐẦU
THỰC QUẢN,HAS_SYMPTOM,KHÓ TIÊU
MIỆNG,HAS_SYMPTOM,RỐI LOẠN TIẾT NIỆU
CHẬM,HAS_SYMPTOM,THOÁI HÓA
TUYẾN GIÁP,HAS_SYMPTOM,IMOTO
CHẢY DỊCH,HAS_SYMPTOM,ĐAU SƯNG HẠCH BẠCH HUYẾT
GIÃN,HAS_SYMPTOM,TỔN THƯƠNG
NỔI CỘM,HAS_SYMPTOM,PHÙ NỀ
NGỨA NGÁY,HAS_SYMPTOM,HẮT HƠI
SINH DỤC,HAS_SYMPTOM,RỐI LOẠN
HỒNG CẦU,HAS_SYMPTOM,NHƯỢC SẮC
TAI,HAS_SYMPTOM,ĐÁI THÁO ĐƯỜNG
SỎI BỂ THẬN,HAS_SYMPTOM,SỎI BỂ
BÀN TAY,HAS_SYMPTOM,CỤC U CỨNG
MÍ MẮT,HAS_SYMPTOM,SƯNG HẠCH
VIRURS,HAS_SYMPTOM,MÃN TÍNH
HOÁ MỠ,HAS_SYMPTOM,ĐAU THẮT NGỰC
CƠ ĐỊA,HAS_SYMPTOM,ANG
KHÓ THỞ,HAS_SYMPTOM,CHẢY NƯỚC MẮT
LÂY LAN,HAS_SYMPTOM,BIẾN CHỦ
NHỨC MỎI,HAS_SYMPTOM,SARS
Ứ MỦ,HAS_SYMPTOM,VIÊM
TÁC DỤNG PHỤ,HAS_SYMPTOM,NHÌN MỜ
TIM MẠCH,HAS_SYMPTOM,SẦN SÙI
BỀ MẶT DA,HAS_SYMPTOM,VẾT TRẦY XƯỚC
ẠN KIỆT,HAS_SYMPTOM,SUY BUỒNG TRỨNG
MỀM,HAS_SYMPTOM,CHÁY NẮNG
MŨI,HAS_SYMPTOM,MỠ MÁU
NEY,HAS_SYMPTOM,TỔN THƯƠNG
HUY,HAS_SYMPTOM,LOẠN NHỊP
TẮC VÒI TRỨNG,HAS_SYMPTOM,CÓ THAI
BUỒNG TRỨNG,HAS_SYMPTOM,VÔ SINH
KHỚP,HAS_SYMPTOM,THIẾU MÁU
BỆNH NỀN,HAS_SYMPTOM,VID
VIÊM,HAS_SYMPTOM,TIỂU ĐƯ
XUNG HUYẾT,HAS_SYMPTOM,ĐI CẦU
ỐNG TIÊU HÓA,HAS_SYMPTOM,TIỂU ĐƯỜNG
MẠCH,HAS_SYMPTOM,MỠ MÁU
TỔN THƯƠNG,HAS_SYMPTOM,KHÔNG
HỘI CHỨNG,HAS_SYMPTOM,RỐI LOẠN PHÓNG NOÃN
NÃO,HAS_SYMPTOM,THỦY ĐẬU
TINH HOÀN,HAS_SYMPTOM,NHIỄM TRÙNG
TỬ CUNG,HAS_SYMPTOM,VIÊM
BỊ BỆNH TRĨ,HAS_SYMPTOM,VIÊM GAN
LỘ TUYẾN,HAS_SYMPTOM,VIÊM
QUAN HỆ,HAS_SYMPTOM,NHIỄM NẤM DA
SIÊU VI B,HAS_SYMPTOM,VID
PHỔ,HAS_SYMPTOM,BỆNH PHỔI BIỆT LẬP
MỌC,HAS_SYMPTOM,MỤN
VAN,HAS_SYMPTOM,ÁC TÍNH
TRIỆU CHỨNG,HAS_SYMPTOM,PHÙ CHI
CƠ THỂ,HAS_SYMPTOM,CHOLESTEROL
GAN,HAS_SYMPTOM,KHÔ
NHANH,HAS_SYMPTOM,VIÊM MÀNG
NỔI MẨN ĐỎ,HAS_SYMPTOM,MỤN
TAI NẠN,HAS_SYMPTOM,TRIỆU CHỨNG
DỊ TẬT,HAS_SYMPTOM,SẢY THAI
MỤN BÃ ĐẬU,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,THỪA
PHẾ QUẢN,HAS_SYMPTOM,TÁI PHÁT
PHỔ,HAS_SYMPTOM,DỊ DẠNG
MẮT,HAS_SYMPTOM,CHẢY NƯỚC MŨI
KHÁT NƯỚC,HAS_SYMPTOM,NGỦ GÀ
CHÂN TAY,HAS_SYMPTOM,CỬ ĐỘNG KHÓ KHĂN
BỘ NÃO,HAS_SYMPTOM,CHẬM
THẬN,HAS_SYMPTOM,BUỒN NÔN
NÃO,HAS_SYMPTOM,UỐN
TUYẾN YÊN,HAS_SYMPTOM,KHỐI U
MÁU,HAS_SYMPTOM,TRONG MÁU
CHÂN TAY,HAS_SYMPTOM,NGỨA RAN
SINH DỤC,HAS_SYMPTOM,HYPOGONADISM
LIỆT NỬA NGƯỜI,HAS_SYMPTOM,LIỆT
PHỔI,HAS_SYMPTOM,DỊ VẬT
TÚI,HAS_SYMPTOM,VIÊM TÚI
ĐÔI MẮT,HAS_SYMPTOM,BASEDOW LỒI MẮT
SIÊU B,HAS_SYMPTOM,MÃN TÍNH
TIỂU NÃO,HAS_SYMPTOM,CHÓNG MẶT
NỔI,HAS_SYMPTOM,HOA MẮT
MỆT MỎI,HAS_SYMPTOM,ĂN MẤT NGON
KHỐI U,HAS_SYMPTOM,ĐÁM RỐI MẠCH MẠC
THẬN,HAS_SYMPTOM,ĐA ỐI
MÁU,HAS_SYMPTOM,TÁI PHÁT
TINH TRÙNG,HAS_SYMPTOM,ĐẬU THAI
HỆ MIỄN DỊCH,HAS_SYMPTOM,VIÊM PHẾ QUẢN
BẨM SINH,HAS_SYMPTOM,FALLOT
PHÚC MẠCH,HAS_SYMPTOM,ÁP XE
BẨM SINH,HAS_SYMPTOM,120
TĂNG SINH,HAS_SYMPTOM,TĂNG SINH MÔ MỠ
HỘI CHỨNG,HAS_SYMPTOM,BẨM SINH
VẬT,HAS_SYMPTOM,ĐAU ĐẦU
MẮT,HAS_SYMPTOM,LAO
THANH QUẢN,HAS_SYMPTOM,LÂY TRUYỀN
DI TRUYỀN,HAS_SYMPTOM,HỘI CHỨNG KLINEFELTER
LOẠNG,HAS_SYMPTOM,SÓNG
NỘI,HAS_SYMPTOM,ỒI MÁU XUẤT HUYẾT NÃO
TAY,HAS_SYMPTOM,RỐI LOẠN
MẮT,HAS_SYMPTOM,HƠI
BÀNG QUANG,HAS_SYMPTOM,TIỂU
TÁC DỤNG PHỤ,HAS_SYMPTOM,KHỐI
COV-2,HAS_SYMPTOM,COVID
VIÊM,HAS_SYMPTOM,MENIERE
TAI,HAS_SYMPTOM,VẾT LOÉT
HỘI CHỨNG BUỒNG TRỨNG ĐA NANG,HAS_SYMPTOM,ĐA NANG
VÙNG,HAS_SYMPTOM,GIÃN TĨNH MẠCH THỪNG TINH
HỆ THỐNG MIỄN DỊCH,HAS_SYMPTOM,MÃN TÍNH
ĐAU,HAS_SYMPTOM,IỆU CHỨNG
BẠI NÃO,HAS_SYMPTOM,SUY GIẢM KHẢ NĂNG DI
TÁC DỤNG PHỤ,HAS_SYMPTOM,HEN PHẾ QUẢN
DẠ DÀY,HAS_SYMPTOM,VI TRÙNG
NÃO,HAS_SYMPTOM,SỐC PHẢN VỆ
UNG THƯ ĐẠI TRÀNG,HAS_SYMPTOM,ĐAU
NHIỄM SẮC THỂ,HAS_SYMPTOM,HỘI CHỨNG DOWN
VIÊM,HAS_SYMPTOM,HEN PHẾ QUẢN
THALASSAMIE,HAS_SYMPTOM,DỊ ỨNG
COVID,HAS_SYMPTOM,TRẦM CẢM
CƠ THỂ,HAS_SYMPTOM,CẢM
XƠ GAN,HAS_SYMPTOM,BỆNH NHẦY NHỚT
DÂY THẦN KINH,HAS_SYMPTOM,RỐI LOẠN
ĐAU,HAS_SYMPTOM,PHÙ GAI THỊ
Ô MẮT,HAS_SYMPTOM,KHÔ
MÀNG,HAS_SYMPTOM,SỐT
DỊ VẬT,HAS_SYMPTOM,GÃY XƯƠNG
